Year,Option,Spec,Space,"Intial Admit
Number","Inital Reject 
Number","Final Admit 
Number",Max grade,Min Grade
2020,Combined Major,Combined Major (3125): Oceanography and Biology,,14,0,18,94.7,63.55
2020,Combined Major,Combined Major (3383): Oceanography and Chemistry,,2,0,2,,
2020,Combined Major,Combined Major (3126): Oceanography and Physics,,2,0,2,,
2020,Honours,,,,,,,
2020,Honours,Honours (1136): Biotechnology,21,13,0,16,73.96,89.25
2020,Honours,Honours (0577): Fisheries Oceanography,2,0,0,0,0,0
2020,Honours,Honours (0166): Mathematics (MATH),20,15,0,19,99.4,75.2
2020,Honours,Honours (0344): Physics (PHYS),,14,0,13,94.9,74.68
2020,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",29,30,55,30,94.75,87.7
2020,Combined Honours,,,,,,,
2020,Combined Honours,Combined Honours (3508): Biochemistry and Forensic Science,17,15,0,17,94.84,71.23
2020,Combined Honours,Honours (1093): Biophysics (BIOP),25,5,0,5,93.12,77.8
2020,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",,1,0,2,,
2020,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",,2,0,3,,
2020,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,13,0,13,90.7,76.33
2020,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,12,0,13,96.5,73.34
2021,,,,,,,WIP,WIP: COME BACK SOON
2021,CPSC (Excluding Domestic Student),,,,,,95.09,82.25
2021,CPSC (Excluding Domestic Student),Major Cognitive Systems(1226): Computational Intelligence and Design,,,,,87.42,82.93
2021,CPSC (Excluding Domestic Student),Major (0376): Computer Science (CPSC) International Students Only,,,,,95.09,82.25
2021,CPSC (Excluding Domestic Student),Combined Major (1370): Computer Science and Biology,,,,,0,0
2021,CPSC (Excluding Domestic Student),Combined Major (3401): Computer Science and Chemistry,,,,,0,0
2021,CPSC (Excluding Domestic Student),Combined Major (1429): Computer Science and Mathematics,,,,,88,82.7
2021,CPSC (Excluding Domestic Student),Combined Major (1371): Computer Science & Microbiology and Immunology,,,,,0,0
2021,CPSC (Excluding Domestic Student),Combined Major (1391): Computer Science and Physics,,,,,87.59,85.1
2021,CPSC (Excluding Domestic Student),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,,,,92.21,82.4
2021,CPSC (Excluding Domestic Student),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),,,,,0,0
2021,CPSC (Excluding International Students),,,,,,97.19,82.33
2021,CPSC (Excluding International Students),Major Cognitive Systems(1226): Computational Intelligence and Design,,,,,92.92,82.7
2021,CPSC (Excluding International Students),Major (0376): Computer Science (CPSC) Domestic Students Only,,,,,97.19,82.33
2021,CPSC (Excluding International Students),Combined Major (1370): Computer Science and Biology,,,,,88.97,82.42
2021,CPSC (Excluding International Students),Combined Major (3401): Computer Science and Chemistry,,,,,91.86,84.9
2021,CPSC (Excluding International Students),Combined Major (1429): Computer Science and Mathematics,,,,,92.4,87.13
2021,CPSC (Excluding International Students),Combined Major (1371): Computer Science & Microbiology and Immunology,,,,,92.25,82.87
2021,CPSC (Excluding International Students),Combined Major (1391): Computer Science and Physics,,,,,92.12,84.07
2021,CPSC (Excluding International Students),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,,,,94.5,82.4
2021,CPSC (Excluding International Students),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),,,,,,
2021,STAT,,,,,,95,79.7
2021,STAT,Major (0562): Statistics (STAT),,,,,92.81,79.7
2021,STAT,Combined Major (1375): Computer Science and Statistics (Also in CPSC umbrella),,,,,95,82.4
2021,STAT,Major (0185): Mathematical Sciences (MASC) (Also in CPSC umbrella),,,,,,
2021,COGS,,,,,,92.92,74.54
2021,COGS,Major Cognitive Systems(1225): Cognition and Brain,,,,,90.12,74.54
2021,COGS,Major Cognitive Systems(1226): Computational Intelligence and Design (Also in CPSC umbrella),,,,,92.92,82.7
2021,Major,,,,,,,
2021,Major,Major (0030): Astronomy (ASTR),,,,,81.27,68.22
2021,Major,Major (0167): Atmospheric Science (ATSC),,,,,85,67.42
2021,Major,Major (3502): Behavioural Neuroscience (PSYC),,,,,93.59,79.2
2021,Major,Major (0244): Biochemistry (BIOC),,,,,95.96,71.41
2021,Major,Major (3095): Biology (BIOL),,,,,97.4,57.91
2021,Major,Major (0409): Chemistry (CHEM),,,,,92,57.92
2021,Major,Major (1223): Earth and Ocean Sciences (EOSC),,,,,88,50
2021,Major,Major (1263): Environmental Sciences (ENSC),,,,,90.12,60.83
2021,Major,Major (3428) Geographical Sciences,,,,,85.82,54
2021,Major,Major (0001): Geophysics,,,,,80.54,80.54
2021,Major,Major (3193): Geology,,,,,88.8,60.42
2021,Major,Major (1682): Integrated Sciences (INSC),,,,,95.59,77.21
2021,Major,Major (0456): Mathematics (MATH),,,,,95.06,65.1
2021,Major,Major (1153): Microbiology and Immunology (MBIM),,,,,95,82.73
2021,Major,Major (0311): Pharmacology (PCTH),,,,,94.74,86.71
2021,Major,Major (0524) Physics (PHYS),,,,,87.2,61.68
2021,Combined Major,,,,,,,
2021,Combined Major,"Combined Major (3382): Biochemistry, Chemistry (BIOC, CHEM)",,,,,92.2,65.33
2021,Combined Major,"Combined Major (3440): Chemical Biology (BIOL, CHEM)",,,,,94.03,69.86
2021,Combined Major,Combined Major (3096): Science,,,,,89.31,45.66
2021,Combined Major,Combined Major (3144): Microbiology and Oceanography,,,,,81.82,62.92
2021,Combined Major,Combined Major (3125): Oceanography and Biology,,,,,91.79,55.3
2021,Combined Major,Combined Major (3383): Oceanography and Chemistry,,,,,80.92,74.44
2021,Combined Major,Combined Major (3126): Oceanography and Physics,,,,,78.41,78.41
2021,Honours,,,,,,,
2021,Honours,Honours (1136): Biotechnology,,,,,95.79,76.68
2021,Honours,Honours (0577): Fisheries Oceanography,,,,,0,0
2021,Honours,Honours (0166): Mathematics (MATH),,,,,92.29,77
2021,Honours,Honours (0344): Physics (PHYS),,,,,93.67,78.3
2021,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",,,,,95.43,86
2021,Combined Honours,,,,,,,
2021,Combined Honours,Combined Honours (3508): Biochemistry and Forensic Science,,,,,90,74.1
2021,Combined Honours,Honours (1093): Biophysics (BIOP),,,,,89.37,72.16
2021,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",,,,,,
2021,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",,,,,,
2021,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,,,,88.81,80.4
2021,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,,,,95.35,73.96
